Owner,Project,File Path,hpa_count,apiVersion,Is Helm Template,Metric Name,Metric Type,Target Value,Has Behavior,stargazers_count,created_at,pushed_at,file_first_commit,file_last_commit
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/clusters/dolphin/istio/installation/generated-manifests/1.9.5/before-retiring/istio-external-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-12T14:18:15Z,2021-05-12T14:18:15Z
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/archive/clusters/armadillo/istio/installation/no-operator-install/1.8.5/istio-external-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-11T17:32:52Z,2021-05-11T17:32:52Z
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/archive/clusters/armadillo/istio/installation/no-operator-install/1.8.5/istio-multicluster-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-11T17:32:52Z,2021-05-11T17:32:52Z
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/archive/clusters/armadillo/istio/installation/no-operator-install/1.9.4/istio-external-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-11T17:32:52Z,2021-05-11T17:32:52Z
oererenn,kwetter-microservices,search_results/oererenn/kwetter-microservices/kustomize/base/hpa.yaml,2,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,25,False,2,2022-09-28T11:56:11Z,2022-09-28T19:56:32Z,2022-09-28T12:00:14Z,2022-09-28T12:00:14Z
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/clusters/bison/istio/installation/generated-manifests/1.8.5/full-installation/istio-external-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-08T16:30:52Z,2021-05-08T16:30:52Z
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/clusters/bison/istio/installation/generated-manifests/1.8.5/before-retiring/istio-external-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-08T16:30:52Z,2021-05-08T16:30:52Z
PaaS-TA,paas-ta-container-platform-deployment,search_results/PaaS-TA/paas-ta-container-platform-deployment/standalone/applications/kubeflow-1.7.0/common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml,2,autoscaling/v2,False,cpu,Resource,70,False,2,2020-12-07T02:34:31Z,2023-08-02T05:36:29Z,2023-04-06T05:47:05Z,2023-04-06T05:47:05Z
lsm1103,project-admin,search_results/lsm1103/project-admin/libs/goctl/tproxy.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,3,2022-11-01T02:18:11Z,2023-02-18T09:58:32Z,2022-11-01T02:19:17Z,2022-11-13T15:20:35Z
mylesagray,tanzu-cluster-gitops,search_results/mylesagray/tanzu-cluster-gitops/manifests/knative/05-mt-channel-broker.yaml,2,autoscaling/v2beta2,False,cpu,Resource,70,False,11,2021-03-25T12:33:05Z,2025-04-04T17:41:34Z,2021-05-20T23:58:29Z,2021-05-20T23:58:29Z
knative,operator,search_results/knative/operator/cmd/operator/kodata/knative-eventing/1.15.2/5-mt-channel-broker.yaml,2,autoscaling/v2,False,cpu,Resource,70,False,202,2020-03-24T17:33:49Z,2025-04-02T01:41:03Z,2024-10-14T15:49:31Z,2024-10-14T15:49:31Z
knative,operator,search_results/knative/operator/cmd/operator/kodata/knative-eventing/1.14.3/5-mt-channel-broker.yaml,2,autoscaling/v2,False,cpu,Resource,70,False,202,2020-03-24T17:33:49Z,2025-04-02T01:41:03Z,2024-06-19T10:47:23Z,2024-06-19T10:47:23Z
day112,go-zero-bookstore,search_results/day112/go-zero-bookstore/addrpc.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,120,2021-02-22T06:36:08Z,2021-09-22T05:08:13Z,2021-02-22T06:39:28Z,2021-02-22T06:39:28Z
bdereims,tkia,search_results/bdereims/tkia/examples/VMs2PODs/front-end.yaml,2,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,2,False,19,2020-09-08T12:40:46Z,2022-06-14T13:03:07Z,2021-04-01T19:46:02Z,2022-06-14T13:03:01Z
day112,go-zero-bookstore,search_results/day112/go-zero-bookstore/checkrpc.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,120,2021-02-22T06:36:08Z,2021-09-22T05:08:13Z,2021-02-22T06:39:28Z,2021-02-22T06:39:28Z
day112,go-zero-bookstore,search_results/day112/go-zero-bookstore/apirpc.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,120,2021-02-22T06:36:08Z,2021-09-22T05:08:13Z,2021-02-22T06:39:28Z,2021-02-22T06:39:28Z
zxcvbnius,k8s-30-day-sharing,search_results/zxcvbnius/k8s-30-day-sharing/Day25/demo-hpa/helloworld-hpa.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,50,False,172,2017-12-20T03:17:07Z,2018-09-24T12:10:08Z,2018-01-13T05:45:56Z,2018-01-13T05:45:56Z
Abxtracted,abxtracted,search_results/Abxtracted/abxtracted/k8s/hpa.yml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,85,False,2,2016-11-09T22:46:26Z,2018-03-14T16:37:40Z,2017-05-18T02:05:23Z,2017-05-18T03:29:08Z
Ahoo-Wang,CoSec,search_results/Ahoo-Wang/CoSec/k8s/cosec-gateway-hpa.yaml,1,autoscaling/v2,False,cpu,Resource,600,False,35,2022-11-19T05:52:15Z,2025-03-31T13:57:38Z,2023-06-20T01:58:18Z,2023-06-20T01:58:18Z
AlexRogalskiy,scala-patterns,search_results/AlexRogalskiy/scala-patterns/k8s/secure/backend/hpa.yaml,1,autoscaling/v2beta2,False,cpu,Resource,99,False,2,2020-12-13T06:47:41Z,2025-04-06T04:59:07Z,2021-08-11T21:48:26Z,2021-08-11T21:48:26Z
AmaniEzz,deploy-nodejs-mongodb-with-kubernetes,search_results/AmaniEzz/deploy-nodejs-mongodb-with-kubernetes/deployment.yaml,1,autoscaling/v2,False,cpu,Resource,50,False,4,2023-05-21T14:20:41Z,2023-09-27T09:10:04Z,2023-05-22T06:59:09Z,2023-09-27T09:09:45Z
AnthonyByansi,ElasticAI_KubeWatch,search_results/AnthonyByansi/ElasticAI_KubeWatch/kubernetes/autoscaler.yaml,1,autoscaling/v2beta2,False,cpu,Resource,,False,5,2023-07-27T12:14:59Z,2023-08-14T12:47:23Z,2023-08-14T12:46:41Z,2023-08-14T12:46:41Z
vfarcic,gke-autopilot-demo,search_results/vfarcic/gke-autopilot-demo/k8s.yaml,1,autoscaling/v2,False,memory,Resource,25,False,3,2021-03-01T21:52:56Z,2022-11-21T16:17:55Z,2021-03-01T21:53:08Z,2022-11-21T16:13:37Z
vevsatechnologies,Install-Kubernetes-on-CentOs,search_results/vevsatechnologies/Install-Kubernetes-on-CentOs/hpa.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,10,False,14,2018-03-22T10:53:53Z,2018-06-27T07:48:44Z,2018-03-22T11:59:46Z,2018-03-22T11:59:46Z
vasu1124,introspect,search_results/vasu1124/introspect/kubernetes/introspect-autoscale.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,50,False,7,2018-02-25T09:27:17Z,2025-04-05T13:51:05Z,2018-02-25T19:19:49Z,2022-07-20T13:07:34Z
utrains,kubernetes_rep,search_results/utrains/kubernetes_rep/replica-services/nnwebserver-hpa.yml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,80,False,3,2022-05-31T16:23:39Z,2023-03-07T20:31:29Z,2022-05-31T17:31:54Z,2022-05-31T17:31:54Z
uc-cdis,cloud-automation,search_results/uc-cdis/cloud-automation/kube/services/ambassador/ambassador-hpa.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,60,False,44,2016-11-17T19:48:51Z,2025-04-04T16:48:47Z,2019-07-31T15:23:46Z,2021-03-18T18:18:02Z
ttauveron,k8s-big-data-experiments,search_results/ttauveron/k8s-big-data-experiments/spark-cluster-k8s/spark_autoscaling.yaml,1,autoscaling/v2beta1,False,memory,Resource,,False,15,2018-01-21T23:49:07Z,2018-11-21T00:09:43Z,2018-03-20T21:08:44Z,2018-03-20T21:08:44Z
transloadit,uppy,search_results/transloadit/uppy/packages/@uppy/companion/infra/kube/companion/companion-kube.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,80,False,29645,2015-11-16T12:32:33Z,2025-04-04T20:31:49Z,2018-07-14T20:09:08Z,2023-09-29T09:11:28Z
torneseumprogramador,k8s-turma1-ibm,search_results/torneseumprogramador/k8s-turma1-ibm/hpa-v1.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,70,False,2,2022-09-15T14:39:37Z,2022-09-17T13:46:06Z,2022-09-16T14:37:40Z,2022-09-16T14:37:40Z
tobialbertino,belajar-code,search_results/tobialbertino/belajar-code/kubernetes/latihan1/hpa.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,70,False,2,2020-05-13T08:17:34Z,2025-03-04T07:31:13Z,2022-11-20T18:06:35Z,2022-11-20T18:06:35Z
thecloudgarage,eks-anywhere,search_results/thecloudgarage/eks-anywhere/open-ocr/manifests/hpa-open-ocr-httpd.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,2,False,17,2022-03-15T12:17:08Z,2025-01-23T02:13:24Z,2023-03-30T07:49:30Z,2023-04-01T02:33:37Z
tencentmusic,cube-studio,search_results/tencentmusic/cube-studio/install/kubernetes/istio/istio-gateway.yaml,1,autoscaling/v2,False,cpu,Resource,80,False,4130,2021-08-17T08:54:14Z,2025-03-22T02:33:55Z,2022-07-15T03:51:50Z,2022-07-15T03:51:50Z
Diarkis,diarkis-server-template,search_results/Diarkis/diarkis-server-template/src/k8s/linode/base/udp/hpa.yaml,1,autoscaling/v2,False,cpu,Resource,40,False,9,2024-06-12T09:28:27Z,2025-03-27T05:28:24Z,2024-06-13T04:32:53Z,2024-06-13T04:32:53Z
DevSecOpsSamples,eks-cdk-blueprints,search_results/DevSecOpsSamples/eks-cdk-blueprints/app/sample-rest-api-template.yaml,1,autoscaling/v2beta2,False,cpu,Resource,50,False,5,2022-04-21T15:48:19Z,2023-12-15T08:27:46Z,2022-06-09T03:42:54Z,2022-06-09T03:42:54Z
Cxs1103,Kubernetes.config,search_results/Cxs1103/Kubernetes.config/tekton/parse2/tekton-pipelines/tekton-0.24.1.yaml,1,autoscaling/v2beta1,False,cpu,Resource,,False,3,2021-08-28T14:32:05Z,2025-04-05T17:30:23Z,2023-03-06T14:58:09Z,2023-03-06T14:58:09Z
Cxs1103,Kubernetes.config,search_results/Cxs1103/Kubernetes.config/prometheus/Phase2/Prometheus Adpater/hpa-mem.yaml,1,autoscaling/v2beta1,False,memory,Resource,,False,3,2021-08-28T14:32:05Z,2025-04-05T17:30:23Z,2022-11-25T15:00:47Z,2022-11-25T15:00:47Z
argoproj-archive,microservices-demo,search_results/argoproj-archive/microservices-demo/deploy/kubernetes/autoscaling/catalogue-hsc.yaml,1,extensions/v1beta1,False,cpuUtilization,cpuUtilization,50,False,2,2017-08-18T19:28:36Z,2017-08-24T20:54:26Z,2017-08-18T19:40:14Z,2017-08-18T19:40:14Z
arafkarsh,k8s-quickstart,search_results/arafkarsh/k8s-quickstart/colima/Yamls/app/fusion-12-water-product-hpa-green.yaml,1,autoscaling/v2,False,requests-per-second,Object,1k,False,2,2025-01-29T06:21:43Z,2025-02-21T03:11:00Z,2025-02-18T14:34:23Z,2025-02-18T14:34:23Z
antonputra,tutorials,search_results/antonputra/tutorials/lessons/187/hpa.yaml,1,autoscaling/v2,False,memory,Resource,70,False,3845,2020-11-28T21:14:18Z,2025-04-06T07:52:30Z,2024-02-21T09:52:35Z,2024-02-21T09:52:35Z
ammarSaad,Kubernetes-web-based,search_results/ammarSaad/Kubernetes-web-based/saas-minikube-kubernetess/namespaces/spring/podinfo-hpa.yaml,1,autoscaling/v2beta1,False,,Pods,,False,6,2019-07-03T18:50:10Z,2023-02-28T11:27:48Z,2019-07-03T19:01:20Z,2019-07-03T19:01:20Z
alphauslabs,oops,search_results/alphauslabs/oops/deployment.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,80,False,4,2021-02-03T05:44:51Z,2024-04-01T06:29:29Z,2020-07-13T17:47:01Z,2020-07-13T19:04:02Z
alejandro945,my-health-ops,search_results/alejandro945/my-health-ops/k8s/hpa/hpa-server.yaml,1,autoscaling/v2,False,cpu,Resource,50,False,2,2023-03-14T15:05:28Z,2023-05-24T01:28:38Z,2023-05-02T20:59:22Z,2023-05-05T15:30:06Z
airavata-courses,PixelGram,search_results/airavata-courses/PixelGram/k8s/kube.yaml,1,autoscaling/v2beta1,False,cpu,Resource,,False,4,2021-01-26T02:05:46Z,2021-06-01T15:09:24Z,2021-04-06T01:58:22Z,2021-05-04T03:05:24Z
ahwhy,myCfgLib,search_results/ahwhy/myCfgLib/kubernetes/all-lib/14-monitor/hpa/hpa-v2-resources.yaml,1,autoscaling/v2beta2,False,memory,Resource,30Mi,True,3,2022-03-14T12:56:16Z,2025-03-10T14:17:01Z,2023-10-06T15:56:05Z,2023-10-06T15:56:05Z
adilreza,kubernetes,search_results/adilreza/kubernetes/Horizontal-scaling/hpad.yaml,1,autoscaling/v2,False,cpu,Resource,50,True,3,2020-08-21T10:45:54Z,2025-03-17T17:14:20Z,2022-11-24T08:59:21Z,2022-11-24T08:59:21Z
adilreza,kubernetes,search_results/adilreza/kubernetes/hpa.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,50,False,3,2020-08-21T10:45:54Z,2025-03-17T17:14:20Z,2022-06-02T09:46:26Z,2022-06-02T09:46:26Z
abdullahakyuz,mern_task,search_results/abdullahakyuz/mern_task/k8s/hpa.yaml,1,autoscaling/v2,False,cpu,Resource,50,False,5,2024-11-22T19:16:26Z,2024-11-27T23:12:43Z,2024-11-25T01:13:40Z,2024-11-26T17:19:43Z
abdidarmawan007,k8s-ingress-neg-hpa,search_results/abdidarmawan007/k8s-ingress-neg-hpa/deployment.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,70,False,3,2019-04-14T07:44:09Z,2021-12-11T00:52:37Z,2019-04-14T08:27:11Z,2021-12-09T01:56:13Z
WilliamDenniss,kubernetes-for-developers,search_results/WilliamDenniss/kubernetes-for-developers/Chapter10/10.1.3_HPA-v1/worker_hpa_v1.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,20,False,81,2020-04-17T22:38:59Z,2025-02-21T04:23:36Z,2023-09-05T21:27:23Z,2023-09-05T21:27:23Z
WilliamDenniss,kubernetes-for-developers,search_results/WilliamDenniss/kubernetes-for-developers/Chapter06/6.2_HPA/hpa.yaml,1,autoscaling/v2,False,cpu,Resource,20,False,81,2020-04-17T22:38:59Z,2025-02-21T04:23:36Z,2021-05-21T07:09:09Z,2023-02-28T08:54:27Z
WilliamDenniss,kubernetes-for-developers,search_results/WilliamDenniss/kubernetes-for-developers/Chapter06/6.2.1_ExternalMetricGCP/hpa.yaml,1,autoscaling/v2,False,loadbalancing.googleapis.com|https|request_count,External,5,False,81,2020-04-17T22:38:59Z,2025-02-21T04:23:36Z,2021-05-21T07:09:09Z,2023-08-27T00:32:25Z
WeihanLi,SparkTodo,search_results/WeihanLi/SparkTodo/manifests/hpa.yml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,50,False,49,2017-03-06T13:54:30Z,2025-04-05T02:16:46Z,2021-12-22T16:23:56Z,2022-01-05T14:58:46Z
Vizzuality,emissions-scenario-portal,search_results/Vizzuality/emissions-scenario-portal/k8s/production/hpa.yaml,1,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,50,False,2,2017-04-12T11:53:17Z,2023-01-19T05:33:23Z,2017-11-27T19:22:14Z,2020-03-02T15:20:34Z
aws-samples,aws-do-eks,search_results/aws-samples/aws-do-eks/Container-Root/eks/deployment/inference/generative-ai/chatgpt/to/kubernetes/template/050-hpa.yaml,1,autoscaling/v2,False,cpu,Resource,50,True,55,2021-07-13T22:45:22Z,2025-03-21T20:25:43Z,2023-03-26T06:42:09Z,2024-05-22T10:26:24Z
aws-samples,aws-do-docker,search_results/aws-samples/aws-do-docker/to/kubernetes/template/040-hpa.yaml,1,autoscaling/v2beta2,False,cpu,Resource,50,False,38,2021-05-25T20:21:50Z,2021-05-27T02:17:07Z,2021-05-27T00:29:40Z,2021-05-27T00:29:40Z
asquarezone,KubernetesZone,search_results/asquarezone/KubernetesZone/Oct24/ingress/hpa/skate-hpa.yaml,1,autoscaling/v2,False,cpu,Resource,70,False,9,2017-07-11T11:28:36Z,2025-03-23T13:59:50Z,2024-10-27T13:37:49Z,2024-10-27T13:37:49Z
