,owner,repo,path
505,GoogleCloudPlatform,anthos-service-mesh-samples,docs/ingress-gateway-external-lb/ingress-gateway-nonroot.yaml
506,GoogleCloudPlatform,anthos-service-mesh-samples,docs/ingress-gateway-external-lb/ingress-gateway.yaml
507,GoogleCloudPlatform,apigee-anthos-service-mesh-demo,api-ingress/kubernetes-manifests/deployment.yaml
508,GoogleCloudPlatform,click-to-deploy-solutions,gke-autopilot-hpa/build/hpa-example.yaml
509,GoogleCloudPlatform,cloud-builders,gke-deploy/deployer/testing/configs/application.yaml
510,GoogleCloudPlatform,cloud-builders,gke-deploy/deployer/testing/application.yaml
511,GoogleCloudPlatform,cloud-builders,gke-deploy/deployer/testing/configs/application.yaml
512,GoogleCloudPlatform,cloud-builders,gke-deploy/deployer/testing/application.yaml
513,GoogleCloudPlatform,cloud-builders,gke-deploy/deployer/testing/expected-suggested/no-config.yaml
514,GoogleCloudPlatform,cloud-builders,gke-deploy/deployer/testing/configs/application.yaml
515,GoogleCloudPlatform,cloud-builders,gke-deploy/deployer/testing/expected-suggested/no-config.yaml
516,GoogleCloudPlatform,cloud-builders,gke-deploy/deployer/testing/application.yaml
517,GoogleCloudPlatform,cloud-learning-platform,microservices/prior_learning_assessment/kustomize/custom/hpa.yaml
518,GoogleCloudPlatform,cloud-learning-platform,microservices/student_learner_profile/kustomize/prod/hpa.yaml
519,GoogleCloudPlatform,cloud-learning-platform,microservices/lti/kustomize/custom/hpa.yaml
520,GoogleCloudPlatform,cloud-learning-platform,microservices/lti/kustomize/prod/hpa.yaml
521,GoogleCloudPlatform,cloud-learning-platform,microservices/dashboard/kustomize/custom/hpa.yaml
522,GoogleCloudPlatform,k8s-config-connector,install-bundles/install-bundle-gcp-identity/0-cnrm-system.yaml
523,GoogleCloudPlatform,k8s-config-connector,install-bundles/install-bundle-gcp-identity/0-cnrm-system.yaml
524,GoogleCloudPlatform,k8s-config-connector,install-bundles/install-bundle-workload-identity/0-cnrm-system.yaml
525,GoogleCloudPlatform,k8s-config-connector,install-bundles/install-bundle-workload-identity/0-cnrm-system.yaml
526,GoogleCloudPlatform,k8s-config-connector,config/installbundle/components/webhook/autoscaler.yaml
527,GoogleCloudPlatform,k8s-config-connector,config/installbundle/components/webhook/autoscaler.yaml
528,GoogleCloudPlatform,terraform-example-deploy-java-gke,infra/modules/helm/charts/xwiki/templates/horizontal_pod_autoscaler.yaml
534,Grupo-68-FIAP,Fiap.McTech,kubernetes/mctech-api.yml
538,HCL-TECH-SOFTWARE,hcl-workload-automation-chart,helm_charts/hcl-workload-automation-prod/charts/wa-aida-prod/charts/aida-es/templates/hpa.yaml
540,HPEEzmeral,ezua-tutorials,demos/fraud-detection/application/helm/templates/hpa.yaml
541,HSLdevcom,digitransit-kubernetes-deploy,roles/aks-apply/files/prod/hsl-map-server-hpa-prod.yml
542,HSLdevcom,digitransit-kubernetes-deploy,roles/aks-apply/files/prod/hsl-map-server-hpa-prod.yml
543,HSLdevcom,digitransit-kubernetes-deploy,roles/aks-apply/files/prod/hsl-map-server-hpa-prod.yml
546,HariSekhon,Kubernetes-configs,github-actions/base/github-actions-runner-hpa.yaml
558,He-Jingkai,mini-kubernetes,presentation/autoscaler/new_version/autoscaler_cpu.yaml
566,HoussemDellai,k8s-scalability,hpa.yaml
567,HoussemDellai,kubeLinter-k8s,helm-chart-sample/templates/hpa.yaml
571,IBM,ansible-lifecycle-driver,helm/ansiblelifecycledriver/templates/deployment.yaml
572,IBM,charts,components/ibm-watson-assistant-prod/charts/ibm-watson-assistant-master/templates/50-master-hpa.yaml
573,IBM,charts,components/wkc-base2/charts/dataconn-engine-service-chart/templates/autoscale.yaml
574,IBM,charts,components/wkc-base2/charts/wkc-glossary-service-chart/templates/autoscale.yaml
575,IBM,charts,entitled/ibm-netcool-prod/charts/metric-api-service/templates/metric-api-service/hpa.yaml
576,IBM,charts,entitled/ibm-netcool-prod/charts/metric-api-service/templates/metric-api-service/hpa.yaml
577,IBM,charts,components/wkc-base2/charts/dataconn-engine-service-chart/templates/autoscale.yaml
578,IBM,charts,components/wkc-base2/charts/wkc-glossary-service-chart/templates/autoscale.yaml
579,IBM,charts,components/ibm-watson-assistant-prod/charts/ibm-watson-assistant-master/templates/50-master-hpa.yaml
580,IBM,charts,components/ibm-aiopenscale-prod/templates/aios-mrm-hpa.yaml
581,IBM,charts,components/ibm-watson-assistant-prod/charts/ibm-watson-assistant-master/templates/50-master-hpa.yaml
582,IBM,charts,entitled/ibm-netcool-prod/charts/metric-api-service/templates/metric-api-service/hpa.yaml
583,IBM,innovate-digital-bank,accounts/chart/innovate-accounts/templates/hpa.yaml
586,IBMStockTrader,stocktrader-helm,stocktrader/templates/portfolio.yaml
587,IBMStockTrader,stocktrader-operator,helm-charts/stocktrader/templates/portfolio.yaml
588,IBMStockTrader,stocktrader-operator,helm-charts/stocktrader/templates/notification-twitter.yaml
589,IBMStockTrader,stocktrader-operator,old/helm-charts/stocktrader/templates/notification-twitter.yaml
590,IBMStockTrader,stocktrader-operator,old/helm-charts/stocktrader/templates/stock-quote.yaml
594,IMIO,helm-plausible-analytics,templates/hpa.yaml
606,IndustryFusion,DigitalTwin,helm/charts/scorpio/templates/storage-manager-hpa.yml
607,IndustryFusion,DigitalTwin,helm/charts/scorpio/templates/storage-manager-hpa.yml
608,IndustryFusion,DigitalTwin,helm/charts/scorpio/templates/storage-manager-hpa.yml
614,Intuinewin,helm-charts,firezone/templates/domain/hpa.yaml
627,J0hn-B,eshop,services/payment/templates/payment-hpa.yaml
628,J0hn-B,eshop,services/shipping/templates/shipping-hpa.yaml
632,JailtonJunior94,api-person,.k8s/hpas/api-hpa.yaml
635,JamesClonk,k8s-infrastructure,monitoring/grafana/build/chart/templates/hpa.yaml
638,Jaseci-Labs,jaseci,_v1/support/helmcharts/jaseci/templates/hpa.yaml
639,Jaseci-Labs,jaseci,_v1/support/helmcharts/jaseci/templates/hpa.yaml
640,JasonMorgan,linkerd-demos,gitops/flux/apps/source/podinfo/patch.yaml
648,JinwonPark,arisu1000,autoscaling/autoscaling.yaml
665,JungleMeet,JungleMeetForum-Backend,deployment.yaml
666,JupiterOne,apps-helm-charts,charts/application/templates/hpa.yaml
670,K-PaaS,cp-deployment,applications/kubeflow-1.7.0/common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml
679,KamiHQ,centrifugo-helm-chart,charts/centrifugo/templates/hpa.yaml
696,KongZ,piggy,charts/piggy-webhooks/templates/hpa.yaml
