,owner,repo,path
1988,coranlabs,HEXAeBPF,src/operators/HEXAeBPF_Operator/HEXAeBPF-free5gc-eupf-operator/hexa-free5gc-eupf-cp-operator/helm-charts/free5gc-upf/templates/upf1/upf1-hpa.yaml
1992,corezoid,helm,corezoid/charts/conf-agent-server/templates/conf-agent-server-autoscale.yaml
1993,cortexproject,cortex-helm-chart,templates/distributor/distributor-hpa.yaml
1994,cortexproject,cortex-helm-chart,templates/distributor/distributor-hpa.yaml
1997,covid19-patient-classification,classify-patient-microservice,hpa.yml
2000,cpretzer,demos,canary-deployments/canary.yml
2005,cskylab,cskylab,cs-mod/k8s-mod/nextcloud/charts/nextcloud/charts/redis/templates/replicas/hpa.yaml
2006,cskylab,cskylab,cs-pro/k8s-pro/gitlab/charts/gitlab/charts/nginx-ingress/templates/controller-hpa.yaml
2007,cskylab,cskylab,cs-pro/k8s-pro/nextcloud/charts/nextcloud/charts/redis/templates/replicas/hpa.yaml
2008,cskylab,cskylab,tpl-cskylab/k8s-mailu/charts/mailu/charts/redis/templates/replicas/hpa.yaml
2018,ctic-sje-ifsc,servicos_kubernetes,srv/quartus/HorizontalPodAutoscaler.yaml
2019,ctrliq,beskar,charts/beskar-ostree/templates/hpa.yaml
2022,cuongndc9,kubernetes,helm/simple-node-app/templates/hpa.yaml
2023,cuongndc9,kubernetes,helm/simple-node-app/templates/hpa.yaml
2025,curiouslearning,assessment-lrs,helm/assessment-lrs/templates/hpa.yaml
2057,danehans,federated-istio,v1.0.3/src/istio.yaml
2059,danielcifuentes54,kubernetes,21-hpa/01-hpa.yml
2067,danskernesdigitalebibliotek,dpl-platform,infrastructure/dpladm/php-nginx-hpa.template.yaml
2068,danskernesdigitalebibliotek,dpl-platform,infrastructure/dpladm/php-nginx-hpa.template.yaml
2073,data-infra,cube-studio,install/kubernetes/istio/istio-gateway.yaml
2081,datakaveri,iudx-deployment,K8s-deployment/Charts/acl-apd/templates/authenticator/hpa.yaml
2082,datakaveri,iudx-deployment,K8s-deployment/Charts/auth-server/templates/registration/hpa.yaml
2083,datakaveri,iudx-deployment,K8s-deployment/Charts/gis-interface/templates/authenticator/hpa.yaml
2084,datakaveri,iudx-deployment,K8s-deployment/Charts/onboarding-server/templates/ingestion/hpa.yaml
2085,datakaveri,iudx-deployment,K8s-deployment/Charts/auth-server/templates/apiServer/hpa.yaml
2086,datakaveri,iudx-deployment,K8s-deployment/Charts/gis-interface/templates/databroker/hpa.yaml
2087,datakaveri,iudx-deployment,K8s-deployment/Charts/immudb/templates/hpa.yaml
2092,davWK,k8s-Challenge,Helm/templates/hpa.yaml
2099,davidfox87,crossplane-eks-argocd-mlops,infra/crossplane/packages/app/frontend.yaml
2106,day112,go-zero-bookstore,apirpc.yaml
2107,day112,go-zero-bookstore,checkrpc.yaml
2108,day112,go-zero-bookstore,addrpc.yaml
2112,dbca-wa,ibms,kustomize/overlays/uat/deployment_hpa_patch.yaml
2113,dbca-wa,it-assets,kustomize/overlays/uat/deployment_hpa_patch.yaml
2117,dbccompany,druid-k8s,helm/druid/charts/coordinator/templates/hpa.yaml
2131,deepfence,ThreatMapper,deployment-scripts/helm-charts/deepfence-console/templates/deepfence-ui.yaml
2134,deggja,netfetch,charts/netfetch/templates/hpa.yaml
2135,deggja,netfetch,charts/netfetch/templates/hpa.yaml
2136,deib-polimi,kosmos,examples/benchmark/application_khpa/hpa.yaml
2137,deib-polimi,neptune,example/sock-shop-openfaas/hpa_rt/user-svc.yaml
2138,deib-polimi,neptune,example/sock-shop-openfaas/hpa/user-svc-login.yaml
2139,deib-polimi,serverless-sock-shop,deploy/sock-shop-openfaas/hpa_rt/user-svc.yaml
2140,deib-polimi,serverless-sock-shop,deploy/sock-shop-openfaas/hpa/user-svc-login.yaml
2157,destination-earth,DestinE_ESA_GFTS,deploy/helm/webapp/templates/hpa.yaml
2170,devops-ia,helm-charts,charts/bigquery-exporter/templates/hpa.yaml
2171,devops-ia,helm-openbas,charts/openbas/templates/server/hpa.yaml
2178,devops4solutions,kubernetes-code,nginx/eks_auto/hpa.yaml
2179,devopsbox-io,example-istio-hpa,hpa.yaml
2182,devopscert202,k8sforbeginners,k8s/labs/workloads/hpa.yaml
2183,devopscorner,devopscorner-helm,template/lab/stateful/templates/hpa.yaml
2184,devopscorner,devopscorner-helm,template/lab/stateful/templates/hpa.yaml
2185,devopscorner,devopscorner-helm,template/prod/stateful/templates/hpa.yaml
2186,devopscorner,devopscorner-helm,template/staging/stateful/templates/hpa.yaml
2189,devopsjourney23,free5gcdemo,5gc/free5gc/charts/free5gc-upf/templates/upf1/upf1-hpa.yaml
2190,devopsjourney23,free5gcdemo,5gc/free5gc/charts/free5gc-upf/templates/upf2/upf2-hpa.yaml
2191,devopsjourney23,free5gcdemo,5gc/old/free5gc/charts/free5gc-upf/templates/upf1/upf1-hpa.yaml
2194,devtron-labs,devtron,scripts/devtron-reference-helm-charts/deployment-chart_1-0-0/templates/hpa.yaml
2195,devtron-labs,devtron,scripts/devtron-reference-helm-charts/reference-chart_3-1-0/templates/hpa.yaml
2196,devtron-labs,devtron,scripts/devtron-reference-helm-charts/deployment-chart_1-0-0/templates/hpa.yaml
2197,devtron-labs,devtron,scripts/devtron-reference-helm-charts/deployment-chart_1-0-0/templates/hpa.yaml
2201,dharmendrakariya,freeipa-helm-chart,freeipa/templates/hpa.yaml
2204,dictybase-docker,kubernetes-charts,baserow/templates/frontend/frontend-hpa.yaml
2206,didi,KnowStreaming,km-dist/helm/templates/hpa.yaml
2207,didi,KnowStreaming,km-dist/helm/charts/knowstreaming-web/templates/hpa.yaml
2213,digihunch,korthweb,gitops/application/base/orthanc/hpa.yaml
2215,digitalocean,Kubernetes-Starter-Kit-Developers,07-scaling-application-workloads/assets/manifests/hpa/prometheus-adapter/prometheus-custom-metrics-hpa.yaml
2217,dignajar,another-ldap-auth,chart/another-ldap-auth/templates/hpa.yaml
2224,dingyouqiang1996,istio-study,istio-teaching/release/canary/argo/reviews-hpa.yaml
2225,dingyouqiang1996,istio-study,istio-teaching/release/canary/flagger/canary-reviews-webhook-uniformity.yaml
2227,dinhln03,LLM_Quote_Generator,observability/jaeger/charts/elasticsearch/templates/coordinating/hpa.yaml
2230,dipinthomas,k8s-autoscaling,020-045/hpa.yaml
2231,disposab1e,argocd-operator-helm,helm-charts/argo-cd/templates/argocd-repo-server/hpa.yaml
2232,disposab1e,okd-lab,gitops/manifests/tekton-pipelines/release.notags.yaml
2242,dkrizic,charts,charts/checkmk/templates/hpa.yaml
2249,dnlloyd,my-k8s,deploy/web-j4-helm/web-j4/templates/hpa.yaml
2251,dockup,infrahub,kubernetes/autoscale.yaml
2253,doitintl,kube-no-trouble,fixtures/autoscaler-v2beta2.yaml
2254,dolphinnG,MLOpsPipeline,helm/airflow/templates/dag-processor/hpa.yaml
2255,dolphinnG,MLOpsPipeline,helm/airflow/templates/worker/hpa.yaml
2258,dopevs,labs,module-03/nginx-deployment.yaml
2260,dotbalo,helm,istio-1.0.4/charts/pilot/templates/autoscale.yaml
2261,douban,charts,charts/dify/templates/hpa.yaml
2262,douban,charts,charts/upyun-exporter/templates/hpa.yaml
2274,duc00,wireguard-server-chart,templates/hpa.yaml
2275,duck1123,dinsro,resources/helm/dinsro/templates/hpa.yaml
2277,duggal1,rustify,hpa.yaml
2278,dunglas,mercure,examples/chat/chart/mercure-example-chat/templates/hpa.yaml
2281,dustinrue,mastodon-helm-chart,helm/templates/hpa/sidekiq-mailers.yaml
2283,duyet,charts,applause-btn/templates/hpa.yaml
2285,dylanoli,blip-desk-scheduler,charts/blip-desk-scheduler/templates/autoscale.yaml
2286,dyrnq,dist,tektoncd/pipeline/v0.35.1/release.yaml
2287,dzoladz,helm-charts-arm64,charts/keycloak-x-arm64/templates/hpa.yaml
2288,eHealthAfrica,helm-charts,src/generic3/templates/horizontal-pod-autoscaler.yaml
2293,eclipse-tractusx,item-relationship-service,local/deployment/full-irs/subcharts/irs-frontend-service/templates/hpa.yaml
2294,eclipse-tractusx,item-relationship-service,local/deployment/full-irs/subcharts/irs-frontend-service/templates/hpa.yaml
2295,eclipse-tractusx,item-relationship-service,local/deployment/full-irs/subcharts/irs-frontend-service/templates/hpa.yaml
2296,eclipse-tractusx,puris,charts/puris/templates/backend-hpa.yaml
2297,eclipse-tractusx,puris,charts/puris/templates/backend-hpa.yaml
2300,eddieowens,ranvier,server/deploy/helm/ranvier/templates/hpa.yml
2301,edenmind,OpenArabic,package/templates/web-hpa.yaml
2321,elastisys,compliantkubernetes-apps,helmfile.d/upstream/bitnami/thanos/templates/ruler/hpa.yaml
2322,elastisys,compliantkubernetes-apps,helmfile.d/upstream/bitnami/thanos/templates/ruler/hpa.yaml
2323,elastisys,compliantkubernetes-apps,helmfile.d/upstream/bitnami/thanos/templates/ruler/hpa.yaml
2338,emilorol,locust-openshift,slave-deployment.yaml
2342,emranbm,crushback,k8s/helm/crushback-frontend/templates/hpa.yaml
2346,energywebfoundation,ssi,devops/ssi-helm/templates/hpa.yaml
2347,engel80,_cdk-eks,app/sample-rest-api-template.yaml
2348,enix,kubecoin,resources/gitlab/charts/nginx-ingress/templates/controller-hpa.yaml
2356,epidemics,covid,web/deploy/chart/templates/hpa.yaml
2378,estafette,estafette-extension-gke,templates/horizontalpodautoscaler.yaml
2399,exastro-suite,epoch,install/source/tekton/tekton-pipeline-release.yaml
2409,fabiocicerchia,go-proxy-cache,kubernetes/helm/templates/hpa.yaml
2414,fails-components,compositions,helmchart/fails-components/templates/avsdispatcher-hpa.yaml
2423,fazlulkarimweb,fastest-fastapi,fastapi/helm-chart/templates/hpa.yaml
2432,fenar,distributed5GCore,site1/cnfs/templates/upf-deploy.yaml
2433,fenar,distributed5GCore,site1/cnfs/templates/udm-deploy.yaml
2434,fenar,distributed5GCore,site2/cnfs/templates/upf-deploy.yaml
2435,ferama,helm-charts,charts/crauti/templates/hpa.yaml
2436,fernando-romulo-silva,image-converter-service,src/main/k8s/base/horizontalPodAutoscaler.yaml
2444,fif911,kubernetes-front-end-backend-example,k8s-microk8s/backend-hpa.yml
2445,fif911,kubernetes-front-end-backend-example,k8s-microk8s-chart/templates/frontend-hpa.yml
2446,fightdou,kubeadm-ansible,ansible/roles/ingress/files/ingress/templates/controller-hpa.yaml
2449,finitum,aurum,deployment/kubernetes/templates/hpa.yaml
2457,flitz-be,helm-charts,charts/keycloak/templates/hpa.yaml
2459,flolu,centsideas,services/authentication/authentication.yaml
2460,flomesh-io,traffic-guru,packages/server/src/charts/osm/templates/osm-injector-hpa.yaml
2461,flowerinthenight,zgroup,k8s.yaml
2462,fluent,helm-charts,charts/fluentd/templates/hpa.yaml
2463,flux-framework,flux-operator,examples/elasticity/horizontal-autoscaler/v2-cpu/hpa-cpu.yaml
2464,fluxcd,flagger,artifacts/examples/appmesh-canary.yaml
2465,fluxcd,flagger,artifacts/examples/appmesh-canary.yaml
2479,fmjstudios,helm,charts/gotenberg/templates/hpa.yaml
2481,folio-org,folio-helm,mod-permissions/templates/hpa.yaml
2482,folio-org,folio-helm,mod-authtoken/templates/hpa.yaml
2483,folio-org,folio-helm,mod-patron/templates/hpa.yaml
2484,folio-org,folio-helm,mod-circulation/templates/hpa.yaml
2485,folio-org,folio-helm,mod-notes/templates/hpa.yaml
2486,fonoster,routr,ops/charts/connect/templates/connect/autoscaling.yaml
2487,fonoster,routr,ops/charts/connect/templates/apiserver/autoscaling.yaml
2489,forbearing,k8s-ha-install,addons-3rd/kong-kong/kong/templates/hpa.yaml
2491,fortinet,k8s-fortigate-ctrl,examples/voting-app-antiaffinity.yaml
2494,fpoussin,nhost-helm,templates/hpa/dashboard.yaml
2499,frankframework,charts,charts/ff-common/templates/_hpa.yaml
2504,free5gc,free5gc-helm,charts/free5gc/charts/free5gc-nef/templates/nef-hpa.yaml
2505,free5gc,free5gc-helm,charts/free5gc/charts/free5gc-chf/templates/chf-hpa.yaml
2506,free5gc,free5gc-helm,charts/free5gc/charts/free5gc-chf/templates/chf-hpa.yaml
2507,free5gc,free5gc-helm,charts/free5gc/charts/free5gc-nrf/templates/nrf-hpa.yaml
2514,fsschmitt,stocks-terminal,helm/templates/hpa.yaml
2515,fugerit-org,graalkus,src/main/openshift/bck/graalkus-jit-std-hpas.yml
2516,fugerit-org,graalkus,src/main/openshift/bck/graalkus-aot-hpas.yml
2517,fugerit-org,graalkus,src/main/openshift/bck/graalkus-aot-pgo-hpas.yml
2522,fuseio,fusebox-backend,k8s/helm/charts/relay/templates/hpa.yaml
2523,fuseio,fusebox-backend,k8s/helm/charts/relay/templates/hpa.yaml
2527,fybrik,fybrik,charts/fybrik/templates/openmetadata-connector/openmetadata-connector-hpa.yaml
2538,garystafford,k8s-istio-observe-backend,helm/ref-app/templates/dev/hpa/hpa-service-a.yaml
2539,garywong-bc,nrm-survey,ci/openshift/limesurvey-bcgov.dc.yaml
2542,gbaeke,vscode-demo,deploy/hpa.yaml
2546,general-rj45,mini-ml-stand-GRJ45,airflow-14.2.5/airflow/templates/worker/horizontalpodautoscaler.yaml
2554,getgems-io,ton-grpc,charts/ton-grpc/templates/hpa.yaml
2555,getgems-io,ton-grpc,charts/ton-grpc/templates/hpa.yaml
2556,getlago,lago-helm-charts,charts/lago/templates/api-hpa.yml
2557,gfw-api,gfw-geostore-api,k8s/production/hpa.yaml
2558,gfw-api,gfw-story-api,k8s/production/hpa.yaml
2566,gianlucam76,k8s-cleaner,internal/controller/executor/validate_aggregatedselection/deployment_with_autoscaler/cleaner.yaml
2567,gianlucam76,k8s-cleaner,internal/controller/executor/validate_aggregatedselection/unused_horizontal-pod-autoscalers/resources.yaml
2568,gianlucam76,k8s-cleaner,examples-unused-resources/deployments/deployment_with_no_autoscaler.yaml
2569,gianlucam76,k8s-cleaner,examples-unused-resources/deployments/deployment_with_no_autoscaler.yaml
2570,gianlucam76,k8s-cleaner,internal/controller/executor/validate_aggregatedselection/deployment_with_autoscaler/cleaner.yaml
2571,gianlucam76,k8s-cleaner,internal/controller/executor/validate_aggregatedselection/unused_horizontal-pod-autoscalers/resources.yaml
2572,gianlucam76,k8s-cleaner,internal/controller/executor/validate_aggregatedselection/unused_horizontal-pod-autoscalers/resources.yaml
2575,giantswarm,starboard-exporter,helm/starboard-exporter/templates/customMetricsHpa.yaml
2581,gjtempleton,k8s-autoscaling-by-example,3-External-Metric-Scaling/rabbit-message-consumer-external-metrics-hpa.yaml
2604,go-sigma,sigma,deploy/sigma/templates/web/hpa.yaml
2605,gocrane,helm-charts,charts/fadvisor/templates/hpa.yaml
2606,goharbor,harbor-operator,charts/harbor-operator/templates/hpa.yaml
2609,google,googlesre,imageserver/kubernetes/search-frontend.yaml
2610,google,googlesre,imageserver/kubernetes/download-backend.yaml
2611,google,googlesre,imageserver/kubernetes/download-frontend.yaml
2612,googleforgames,GenAI-quickstart,genai/image/stable_diffusion/k8s.yaml
2613,googleforgames,open-match,install/helm/open-match/templates/frontend.yaml
2616,grafana,loki,production/helm/loki/templates/querier/hpa.yaml
2617,grafana,pyroscope,operations/pyroscope/helm/pyroscope/rendered/micro-services-hpa.yaml
2618,grafana,pyroscope,operations/pyroscope/helm/pyroscope/rendered/micro-services-hpa.yaml
2619,grafana,pyroscope,operations/pyroscope/helm/pyroscope/rendered/micro-services-hpa.yaml
2620,greeeg,cloud-architecture-fundamentals,tracks/kubernetes-cluster/hpa.yml
2622,greggbjensen,prdeploy,charts/prdeploy-app/templates/hpa.yaml
2623,greggbjensen,prdeploy,charts/prdeploy-app/templates/hpa.yaml
2634,guardllamanet,guardllama,charts/unbound/templates/hpa.yaml
2640,gyan42,mozhi,ops/k8s/mozhi/api.yaml
2645,h1st-ai,h1st-cookiecutter,{{cookiecutter.project_dir}}/charts/{{cookiecutter.project_dir}}-api/templates/hpa.yaml
2648,habil,habil-dev-blog,sample-helm-chart/templates/hpa.yaml
2649,hackclub,replit-lifeboat,hpa.yaml
2660,hank121314,GBF-Raid-Finder-Vue,charts/gbf-raid-finder-vue/templates/hpa.yaml
2677,hasura,learn-graphql,k8s-manifest/tutorials/frontend/remix-firebase/tutorial-site/hpa.yaml
2678,hasura,learn-graphql,k8s-manifest/tutorials/frontend/remix-firebase/tutorial-site/hpa.yaml
2681,hbulpf,k8spath,apps/kubeguide/source_code_v5/Chapter01/1.4.3 hpa.yaml
2682,hbulpf,k8spath,apps/kubeguide/source_code_v4/Chapter1/1.4.7 hpa.yaml
2686,hector-vido,okd-3.11,examples/template/lighttpd.yml
2694,helium,helium-foundation-k8s,manifests/web-cluster/sdlc/helium/helium-vote-service.yaml
2695,helium,helium-foundation-k8s,manifests/web-cluster/prod/helium/migration-service.yaml
2696,helium,helium-foundation-k8s,manifests/web-cluster/prod/helium/hnt-to-rent-service.yaml
2697,helium,helium-foundation-k8s,manifests/web-cluster/prod/helium/migration-service.yaml
2698,helium,helium-foundation-k8s,manifests/web-cluster/prod/helium/hnt-to-rent-service.yaml
2699,helium,helium-foundation-k8s,manifests/web-cluster/sdlc/helium/helium-vote-service.yaml
2700,helium,helium-foundation-k8s,manifests/web-cluster/prod/helium/hnt-to-rent-service.yaml
2701,helium,helium-foundation-k8s,manifests/oracle-cluster/prod/helium/iot-oracle.yaml
2707,helxplatform,translator-devops,helm/benchmark/templates/hpa.yaml
2710,hepyu,k8s-app-config,yaml/min-cluster-allinone/tekton/pipeline/release.yaml
2717,hiero-ledger,hiero-mirror-node,charts/hedera-mirror-rest-java/templates/hpa.yaml
2719,hieuvp,learning-ory-ecosystem,hydra/templates/hpa.yaml
2730,hlxwell,k8s-beginner-demo,hpa.yml
2731,hollaex,hollaex-cli,kubernetes/helm-chart/hollaex-network-server/templates/autoscaler.yaml
2732,holos-run,bank-of-holos,deploy/clusters/management/projects/network/components/istiod/istiod.gen.yaml
2733,holtje,hive-config,docwhat-manifests/street-cleaning.yaml
2748,hubs-community,mozilla-hubs-ce-chart,charts/pgsql/templates/hpa.yaml
2749,hubs-community,mozilla-hubs-ce-chart,charts/pgbouncer/templates/hpa.yaml
2752,huseyinbabal,spring-boot-argocd,charts/echo-server/templates/hpa.yaml
2753,huseyinbabal,spring-boot-microservices,charts/order/templates/hpa.yaml
2754,huseyinbabal,spring-boot-microservices,charts/shipping/templates/hpa.yaml
2755,huseyindeniz,gitops-lab,helm-charts/dotnet-core-webapi/templates/hpa.yaml
2757,hustcat,my-handbook,kubernetes/istio/resource/istio.yaml
2758,huyongywl,Kubernetes_Advanced_Practical_2rd,chapter15/hpa/hpa-v2-resources.yaml
2761,hypercontract,hypercontract,deployment/kustomize/overlays/hypercontract/kustomization.yaml
2762,hypertrace,hypertrace-collector,helm/templates/hypertrace-metrics-collector/hpa.yaml
2765,iKubernetes,Kubernetes_Advanced_Practical_2rd,chapter15/hpa/hpa-v2-resources.yaml
2766,iKubernetes,knative-in-practise,deploy-knative/knative-v1.2/serving/serving-core.yaml
2767,iKubernetes,knative-in-practise,deploy-knative/knative-v1.4.1/kafka/channel-consolidated.yaml
2771,iam-harshsoni,DevOps-Project,Project-7/call-booking-application/k8s/helm/admin-ui/templates/hpa.yaml
2775,iamsamitdev,K8SBasicAfter,hpa-v2.yaml
2784,ibm-cloud-architecture,refarch-kc-container-ms,chart/springcontainerms/templates/hpa.yaml
2787,ibrokethecloud,user-bundles,fleetlabelsdemo/templates/hpa.yaml
2789,icebob,kantab,kubernetes/boards-deployment.yaml
2790,icebob,kantab,kubernetes/activities-deployment.yaml
2791,icgc-argo,charts,rdpc-gateway/templates/hpa.yaml
2794,idlab-discover,obelisk,deployment/obelisk/templates/hpa.yaml
2797,ieugen,charts,charts/another-ldap-auth/templates/hpa.yaml
2803,ihcsim,guest-demo,k8s/hpa.yaml
2804,ihcsim,linkerd2-benchmark,gke/yaml/istio-1.0.3.yaml
2806,iinux,JohannCarlFriedrichGauss,karabiner/k8s/kubeadm/hpa/hpa.yml
2812,imaginestack,kubelogic,kube-plugins/kubes-helm-charts/src/stable/ys1000/templates/hpa.yaml
2813,imaginestack,kubelogic,kube-plugins/kubes-helm-charts/src/main/gitlab/charts/gitlab/charts/mailroom/templates/hpa.yaml
2814,imaginestack,kubelogic,kube-plugins/kubes-helm-charts/src/main/gitlab/templates/application.yaml
2815,imgrbs,open-online-testing-api,k8s-autoscale.yaml
2825,infrahq,helm-charts,charts/infra-server/templates/server/hpa.yaml
2828,instill-ai,instill-core,charts/core/templates/openfga/hpa.yml
2829,instill-ai,instill-core,charts/core/templates/openfga/hpa.yml
2830,instill-ai,instill-core,charts/core/templates/openfga/hpa.yml
2831,instill-ai,instill-core,charts/core/templates/openfga/hpa.yml
2832,intel,workload-services-framework,staging/deathstarbench-hotelreservation/helm_hotelReservation/templates/geo.yaml
2833,intel,workload-services-framework,staging/deathstarbench-hotelreservation/helm_hotelReservation/templates/search.yaml
2835,interlegis,il-charts,charts/portalmodelo/templates/hpa.yaml
2836,inveniosoftware,helm-invenio,charts/invenio/templates/horizontalpodautoscaler.yaml
2838,ipedrazas,kstatus,kstatus/templates/hpa-ui.yaml
2839,ipedrazas,kstatus,kstatus/templates/hpa-api.yaml
2842,irwinrex,kubernetes,hpa.yml
2843,irwinrex,kubernetes,all.yml
2849,ishuar,argocd-multi-cluster,charts/sample-app/templates/hpa.yaml
2851,issessions,ISSessionsCTF2022,01-PROGRAMMING/0x04-MonkeyGame2-H/k8s/hpa.yml
2852,issessions,ISSessionsCTF2022,07-PWN/0x03-PWNTheABTM-H/k8s/hpa.yml
2853,issessions,ISSessionsCTF2022,01-PROGRAMMING/0x07-PestPatrol-H/k8s/hpa.yml
2854,issessions,ISSessionsCTF2022,06-WEB/0x06-Hunt-H/k8s/hpa.yml
2855,issessions,ISSessionsCTF2022,06-WEB/0x07-AccountCreation-H/k8s/hpa.yml
2856,issessions,ISSessionsCTF2022,07-PWN/0x07-UID-H/k8s/hpa.yml
2857,istio-ecosystem,sail-operator,resources/v1.21.6/charts/istiod/templates/autoscale.yaml
2871,itsmurugappan,knative-on-your-mac,istio/istio-1.5.6.yaml
2878,ivee-tech,wp-tech-brief,Demos/Module7/HPA/complex-web-hpa.yaml
2919,jaegertracing,helm-charts,charts/jaeger/templates/collector-hpa.yaml
2924,jakoberpf,charts,charts/netmaker/templates/hpa.yaml
2927,jamalshahverdiev,kyverno,kyvernorules/Yaml-Examples/ReplicaLimits+/HPA/hpa-scenario1.yaml
2935,jasonmcintosh,homelab-work,applications/harness-smp/delegate.yml
2937,jasonraimondi,scratchy,k8s/04-web/horizontal_pod_autoscaler.yml
2938,jasonwc,noobernetes.io,applications/sinatra/manifests/horizontal-pod-autoscaler.yaml
2949,jecklgamis,envoy-proxy-example,deployment/k8s/helm/chart/templates/hpa.yaml
2955,jenningsloy318,redfish_exporter,helm/templates/hpa.yaml
2958,jeremyrickard,rps-demo-prometheus,charts/adoptdog/templates/app-hpa.yaml
2961,jfrog,charts,stable/pipelines/templates/pipelines-trigger-hpa.yaml
2962,jfrog,charts,stable/pipelines/templates/pipelines-trigger-hpa.yaml
2963,jfrog,charts,stable/pipelines/templates/pipelines-internalapi-hpa.yaml
2964,jfrog,charts,stable/xray/templates/xray-hpa-server.yaml
2965,jfrog,charts,stable/xray/templates/xray-hpa.yaml
2966,jfrog,charts,stable/xray/templates/xray-hpa-server.yaml
2972,jimeh,casecmp,chart/templates/hpa.yaml
2977,jittagornp,kubernetes-demo,App-HorizontalPodAutoscaler.yml
2996,joeferner,redis-commander,k8s/helm-chart/redis-commander/templates/hpa.yaml
3002,johnbedeir,End-to-End-DevOps-AWS-Nodejs-Postgres,k8s/hpa.yml
3009,jon-whit,zanzibar-poc,helm/access-controller/templates/hpa.yaml
3012,jordanopensource,charts,charts/spiderfoot/templates/hpa.yaml
3024,jpopesculian,banoogle,.manifests/banoogle.yaml
3027,jrhuerta,celery-k8s-suffle-shard-with-autoscaling,k8s/manifest.yaml
3034,jtyr,otel-demo,charts/otel-demo-backend/templates/hpa.yaml
3035,jtyr,otel-demo,charts/otel-demo-frontend/templates/hpa.yaml
3040,juanmagal,iot-slice-orchestrator,helmexamples/helm-arm/edgex-go/templates/export-client.yaml
3041,juanmagal,iot-slice-orchestrator,helmexamples/helm-gke/edgex-go/templates/export-client.yaml
3042,juanmagal,iot-slice-orchestrator,helmexamples/helm/edgex-go/templates/consul.yaml
3043,juanmagal,iot-slice-orchestrator,helmexamples/helm-arm/edgex-go/templates/consul.yaml
3044,juanmagal,iot-slice-orchestrator,helmexamples/helm/edgex-go/templates/export-client.yaml
3047,julianpoy,RecipeSage,kube/configs/browserless.yml
3048,julianpoy,RecipeSage,kube/configs/api.yml
3073,jvalue,ods,deployment/templates/hpa/adapter-hpa.yaml
3074,jvalue,ods,deployment/templates/hpa/pipeline-hpa.yaml
3079,k3s-io,k3s-charts,charts/traefik/34.2.1+up34.2.0/templates/hpa.yaml
3081,k8s-dev-strategy,book,chapter3/my-hpa.yaml
3082,k8s-operatorhub,community-operators,operators/project-quay/3.7.0-rc.3/manifests/quay-operator.clusterserviceversion.yaml
3083,k8s-operatorhub,community-operators,operators/project-quay/3.9.0-nightly.20230716/manifests/quay-operator.clusterserviceversion.yaml
3084,k8s-operatorhub,community-operators,operators/project-quay/3.10.0-nightly.20230920/manifests/quay-operator.clusterserviceversion.yaml
3085,k8s-operatorhub,community-operators,operators/project-quay/3.8.1/manifests/quay-operator.clusterserviceversion.yaml
3086,k8s-operatorhub,community-operators,operators/project-quay/3.8.11/manifests/quay-operator.clusterserviceversion.yaml
3087,k8s-operatorhub,community-operators,operators/project-quay/3.9.0/manifests/quay-operator.clusterserviceversion.yaml
3088,k8s-operatorhub,community-operators,operators/project-quay/3.8.11/manifests/quay-operator.clusterserviceversion.yaml
3089,k8s-operatorhub,community-operators,operators/project-quay/3.10.0-nightly.20230914/manifests/quay-operator.clusterserviceversion.yaml
3090,k8s-operatorhub,community-operators,operators/project-quay/3.8.0-rc.7/manifests/quay-operator.clusterserviceversion.yaml
3091,k8s-operatorhub,community-operators,operators/project-quay/3.8.0-rc.7/manifests/quay-operator.clusterserviceversion.yaml
3092,k8s-operatorhub,community-operators,operators/project-quay/3.9.0/manifests/quay-operator.clusterserviceversion.yaml
3093,k8s-operatorhub,community-operators,operators/project-quay/3.8.1/manifests/quay-operator.clusterserviceversion.yaml
3094,k8s-operatorhub,community-operators,operators/project-quay/3.9.2/manifests/quay-operator.clusterserviceversion.yaml
3095,k8s-operatorhub,community-operators,operators/project-quay/3.12.5/manifests/quay-operator.clusterserviceversion.yaml
3096,k8s-operatorhub,community-operators,operators/project-quay/3.8.11/manifests/quay-operator.clusterserviceversion.yaml
3097,k8s-operatorhub,community-operators,operators/project-quay/3.12.5/manifests/quay-operator.clusterserviceversion.yaml
3098,k8s-operatorhub,community-operators,operators/project-quay/3.8.1/manifests/quay-operator.clusterserviceversion.yaml
3099,k8s-operatorhub,community-operators,operators/project-quay/3.7.2/manifests/quay-operator.clusterserviceversion.yaml
3100,k8s-operatorhub,community-operators,operators/project-quay/3.9.0/manifests/quay-operator.clusterserviceversion.yaml
3101,k8s-operatorhub,community-operators,operators/project-quay/3.9.0-nightly.20230716/manifests/quay-operator.clusterserviceversion.yaml
3102,k8s-operatorhub,community-operators,operators/project-quay/3.10.0-nightly.20231014/manifests/quay-operator.clusterserviceversion.yaml
3103,k8s-operatorhub,community-operators,operators/project-quay/3.9.0/manifests/quay-operator.clusterserviceversion.yaml
3104,k8s-operatorhub,community-operators,operators/project-quay/3.8.1/manifests/quay-operator.clusterserviceversion.yaml
3105,k8s-operatorhub,community-operators,operators/project-quay/3.7.0-rc.3/manifests/quay-operator.clusterserviceversion.yaml
3106,k8s-operatorhub,community-operators,operators/project-quay/3.10.0-nightly.20231014/manifests/quay-operator.clusterserviceversion.yaml
