repo_name,file_path,url
sergenaras/argocd-helm,templates/hpa.yaml,https://github.com/sergenaras/argocd-helm/blob/f85b4b0489f79b1099ef03d7539891f6dfb1c59c/templates/hpa.yaml
aguspray001/ava-be-helmchart,templates/hpa.yaml,https://github.com/aguspray001/ava-be-helmchart/blob/4c7c92f2f169e619c4bc5a5b466bf487228c7cf9/templates/hpa.yaml
zkck/byoa2023-helm,templates/hpa.yaml,https://github.com/zkck/byoa2023-helm/blob/f4cd4b068298d65f4385c1e35e3d5ccd0e32c9a3/templates/hpa.yaml
tunamaguro/home-kubernetes-open,base-extensions/cloudflare-tunnel/tunnel-1.yaml,https://github.com/tunamaguro/home-kubernetes-open/blob/16bb9ea85df0b844b86804f07c22e4c31a43cd6c/base-extensions/cloudflare-tunnel/tunnel-1.yaml
getgems-io/ton-grpc,charts/ton-grpc/templates/hpa.yaml,https://github.com/getgems-io/ton-grpc/blob/ce30950dddd40ccb336616792fb0715a4443a5a4/charts/ton-grpc/templates/hpa.yaml
One37ID/helm-ibm,charts/one37id-workflow-studio/templates/hpa.yaml,https://github.com/One37ID/helm-ibm/blob/d121453ffbc5fa1fb9a1d54270ad7a85a4a03cb3/charts/one37id-workflow-studio/templates/hpa.yaml
kubesphere/helm-charts,src/stable/ys1000/templates/hpa.yaml,https://github.com/kubesphere/helm-charts/blob/6ff50cae7340fb33c4d594f4be6a4afb5f126639/src/stable/ys1000/templates/hpa.yaml
tibeer/helm-charts,homer/templates/hpa.yaml,https://github.com/tibeer/helm-charts/blob/ad65ec4448c193efbe1db365f7516f77f2e13c46/homer/templates/hpa.yaml
Sim-JH/ciftag_project,helm/charts/consumer/templates/hpa.yaml,https://github.com/Sim-JH/ciftag_project/blob/ac06a43404153088586dbb953b2560e4cc12f0b3/helm/charts/consumer/templates/hpa.yaml
nqhuy44/devops-technical-challenge,infra/deployment/kustomize/base/dev/hpa.yaml,https://github.com/nqhuy44/devops-technical-challenge/blob/717573bcf369b20ec24bdad93ab506cfec780aa9/infra/deployment/kustomize/base/dev/hpa.yaml
authgear/helm-charts,authgear/templates/authgear-portal-server.yaml,https://github.com/authgear/helm-charts/blob/ab98e1910ecb4ab0b7d0a0a40ae0e0d323c4b5da/authgear/templates/authgear-portal-server.yaml
raminmohammadi/MLOps,Labs/GCP_Labs/Kubernetes/Kubernetes_Labs/Lab 3-Application Scaling/kubernetes/hpa.yaml,https://github.com/raminmohammadi/MLOps/blob/96deb0c22db83176620bd71242c69fe00432d0df/Labs/GCP_Labs/Kubernetes/Kubernetes_Labs/Lab%203-Application%20Scaling/kubernetes/hpa.yaml
rey265/Ticketing-Java,Ticketing-Java-main/7. WAS/concert-page/concert-tomcat.yaml,https://github.com/rey265/Ticketing-Java/blob/ab88f75fa9c5b46ca41a6d67539f574f7cc2fa68/Ticketing-Java-main/7.%20WAS/concert-page/concert-tomcat.yaml
ohcnetwork/automation,aws/care/django/celeryhpa.yml,https://github.com/ohcnetwork/automation/blob/afce0092f75d2970681f49d858f4e09c8feb93d1/aws/care/django/celeryhpa.yml
millaguie/prometheus-trusted-advisor-exporter,chart/templates/hpa.yaml,https://github.com/millaguie/prometheus-trusted-advisor-exporter/blob/e0b77e548de5e407f3f5cf8730ee3f02615edcd1/chart/templates/hpa.yaml
zhengshifa/K8sAddon,manifests/context-my-k8s/istio-ingress/gateway/templates/hpa.yaml,https://github.com/zhengshifa/K8sAddon/blob/762b1f8a559eaf6a89913e2770bbc4d54dc82656/manifests/context-my-k8s/istio-ingress/gateway/templates/hpa.yaml
barabanshek/MIT_PRIMEs,scripts/k8s-yamls/hotel-app-profile.yaml,https://github.com/barabanshek/MIT_PRIMEs/blob/c01524fd6e9cb6959a2ab0a821c221a24d86f4ea/scripts/k8s-yamls/hotel-app-profile.yaml
Shahrukhkazi17/kube,hello-app/manifests/helloweb-hpa.yaml,https://github.com/Shahrukhkazi17/kube/blob/89767d7e920f5cc09f38d2aa7849fee91de19680/hello-app/manifests/helloweb-hpa.yaml
Roma-uuu/codeby-devops,lesson23/hpa-wordpress.yaml,https://github.com/Roma-uuu/codeby-devops/blob/b0b667c784bb84ff89dc2024a1170674ad514609/lesson23/hpa-wordpress.yaml
BouyguesTelecom/charts,bouyguestelecom/spin/templates/hpa.yaml,https://github.com/BouyguesTelecom/charts/blob/08cc652eeaf83cda9fd9c12ff148b6d29e25708b/bouyguestelecom/spin/templates/hpa.yaml
gleniomontovani/POSTECH_SOAT_T4_GP68,tech-challenge-microservico-pagamento/k8s/hpa.yaml,https://github.com/gleniomontovani/POSTECH_SOAT_T4_GP68/blob/fe78e483dc34c5c7572319051f1fba564b8ca4bf/tech-challenge-microservico-pagamento/k8s/hpa.yaml
